mahalle,brut_alan_m2,net_alan_m2,oda_sayisi,bina_kat_sayisi,dairenin_bulundugu_kat,bina_yas,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,sahibi,aidat,depozito,fiyat
Güzeloba Mh.,85.0,75.0,1+1,2.0,Bahçe Katı,16-20 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,1,0,1000,20000,15000.0
Çağlayan Mh.,190.0,175.0,3+1,9.0,3,5-10 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,0,1000,70000,35000.0
Güvenlik Mh.,90.0,75.0,2+1,3.0,2,5-10 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,0,16000,16000.0
Şirinyalı Mh.,210.0,190.0,5+1,13.0,12,16-20 arası,Yok,2.0,1,1,Açık Otopark,0,0,0,900,0,30000.0
Gebizli Mah.,100.0,85.0,2+1,6.0,4,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,18500,18500.0
Fener Mah.,115.0,110.0,3+1,13.0,11,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,25000,25000.0
Güzeloba Mh.,105.0,90.0,2+1,2.0,1,11-15 arası,Yok,2.0,1,0,Yok,0,0,0,0,17000,17000.0
Elmalı Mh.,50.0,40.0,1+1,4.0,3,26-30 arası,Klima,1.0,1,1,Yok,1,0,0,70,12500,12500.0
Güzeloba Mh.,160.0,145.0,3+1,10.0,8,11-15 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,0,47000,47000.0
Güzeloba Mh.,60.0,50.0,1+1,2.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,1,0,0,150,20000,14000.0
Varlık Mh.,110.0,105.0,3+1,6.0,3,3,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0,25000.0
Çağlayan Mh.,200.0,160.0,4+1,6.0,6,16-20 arası,Klima,2.0,1,1,Açık Otopark,1,1,0,0,0,30000.0
Güzeloba Mh.,55.0,45.0,1+1,2.0,1,2,Klima,1.0,1,0,Yok,0,0,0,0,0,14000.0
Güzeloba Mh.,55.0,50.0,1+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,0,18500,18000.0
Dutlubahçe Mh.,85.0,80.0,2+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,13500,13500.0
Bahçelievler Mh.,250.0,200.0,3+1,8.0,7,16-20 arası,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0,50000.0
Güzeloba Mh.,55.0,45.0,1+1,8.0,6,0,Klima,1.0,0,1,Kapalı Otopark,1,0,0,0,32500,31000.0
Sedir Mah.,140.0,130.0,3+1,5.0,4,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,100,16000,16000.0
Üçgen Mh.,100.0,85.0,2+1,5.0,2,16-20 arası,Klima,1.0,1,0,Yok,0,0,0,0,13000,13000.0
Fener Mah.,90.0,85.0,2+1,2.0,1,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Yok,1,0,0,0,50000,26000.0
Çağlayan Mh.,120.0,110.0,2+1,7.0,3,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0,28000.0
Fener Mah.,90.0,80.0,2+1,3.0,Bahçe Katı,16-20 arası,Klima,1.0,1,0,Yok,1,0,0,0,0,22000.0
Kızılsaray Mh.,100.0,90.0,2+1,3.0,Yüksek Giriş,21-25 arası,Klima,1.0,1,1,Yok,0,0,0,0,15000,13500.0
Şirinyalı Mh.,250.0,240.0,4+1,4.0,1,21-25 arası,Klima,2.0,1,0,Yok,0,0,0,0,0,35000.0
Kızılarık Mh.,100.0,95.0,2+1,5.0,2,5-10 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,13000,13000.0
Fener Mah.,95.0,85.0,2+1,3.0,3,4,Klima,1.0,1,0,Açık Otopark,1,0,1,500,35000,35000.0
Güzeloba Mh.,55.0,45.0,1+1,3.0,1,11-15 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,250,13500,15000.0
Mehmetçik Mh.,130.0,125.0,3+1,4.0,Giriş Katı,11-15 arası,Klima,1.0,1,1,Açık Otopark,0,0,1,0,15750,15750.0
Şirinyalı Mh.,180.0,165.0,3+1,4.0,3,16-20 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,300,0,25000.0
Güzeloba Mh.,95.0,85.0,2+1,8.0,8,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,0,0,27000.0
Meltem Mah.,160.0,150.0,3+1,8.0,4,26-30 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,800,50000,50000.0
Konuksever Mah.,70.0,60.0,1+1,4.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0,12000.0
Güzeloba Mh.,120.0,95.0,2+1,2.0,Bahçe Katı,2,Klima,1.0,1,1,Açık Otopark,0,0,0,1500,30000,32000.0
Haşimişcan Mh.,60.0,55.0,1+1,4.0,Bodrum Kat,26-30 arası,Klima,1.0,0,0,Açık Otopark,0,0,0,0,12500,12500.0
Güzeloba Mh.,120.0,110.0,2+1,2.0,2,5-10 arası,Klima,2.0,1,0,Yok,1,0,0,200,25000,25000.0
Güzeloba Mh.,70.0,65.0,1+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,0,15500,15000.0
Şirinyalı Mh.,175.0,165.0,3+1,4.0,3,21-25 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,0,250,21000,21000.0
Kışla Mh.,135.0,125.0,2+1,4.0,1,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,24000,12000.0
Güzeloba Mh.,200.0,190.0,4+2,2.0,2,16-20 arası,Klima,2.0,1,0,Açık Otopark,0,1,0,350,22000,22000.0
Mehmetçik Mh.,85.0,80.0,2+1,5.0,3,5-10 arası,Merkezi (Pay Ölçer),2.0,1,1,Açık & Kapalı Otopark,0,1,0,2000,0,20000.0
Muratpaşa Mh.,75.0,65.0,1+1,5.0,3,11-15 arası,Klima,1.0,0,1,Açık Otopark,0,0,0,0,12500,12500.0
Fener Mah.,280.0,250.0,4+1,10.0,6,21-25 arası,Klima,3.0,1,1,Açık & Kapalı Otopark,0,0,0,3500,65000,65000.0
Güzelbağ Mh.,85.0,80.0,2+1,2.0,2,16-20 arası,Klima,1.0,1,0,Yok,0,0,0,0,15000,15000.0
Gebizli Mah.,70.0,60.0,1+1,5.0,4,0,Klima,1.0,1,1,Kapalı Otopark,1,1,0,350,17000,17000.0
Yeşilbahçe Mh.,170.0,160.0,3+1,4.0,3,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,0,0,250,25000,26500.0
Kızılarık Mh.,140.0,120.0,3+1,5.0,2,4,Klima,1.0,1,1,Açık & Kapalı Otopark,1,0,1,200,50000,20000.0
Yeşilbahçe Mh.,160.0,150.0,3+1,7.0,5,21-25 arası,Yok,1.0,1,1,Açık Otopark,0,1,0,250,20000,20000.0
Güzeloba Mh.,95.0,75.0,2+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,0,0,0,250,36000,18000.0
Varlık Mh.,110.0,100.0,2.5+1,7.0,6,21-25 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,100,19000,18000.0
Gençlik Mh.,155.0,145.0,3+1,4.0,3,21-25 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0,30000.0
Güzeloba Mh.,65.0,55.0,1+1,2.0,1,2,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,0,700,20000,20000.0
Güvenlik Mh.,60.0,50.0,1+1,5.0,Bodrum Kat,0,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0,13500.0
Yüksekalan Mh.,165.0,150.0,3+1,7.0,6,31 ve üzeri,Klima,1.0,1,1,Yok,0,0,0,0,16000,16000.0
Güzeloba Mh.,65.0,60.0,1+1,8.0,2,5-10 arası,Klima,1.0,0,1,Açık Otopark,1,1,0,1000,15000,15000.0
Şirinyalı Mh.,160.0,150.0,2+1,1.0,Yüksek Giriş,11-15 arası,Klima,2.0,1,1,Açık Otopark,1,0,0,200,0,30000.0
Çağlayan Mh.,70.0,56.0,1+1,4.0,Yüksek Giriş,4,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,0,0,400,0,22000.0
Cumhuriyet Mah.,155.0,140.0,3+1,5.0,4,21-25 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,100,12000,12000.0
Zerdalilik Mah.,160.0,150.0,3+1,4.0,2,21-25 arası,Yok,1.0,1,0,Yok,0,0,0,0,16000,16000.0
Üçgen Mh.,95.0,90.0,2+1,8.0,4,5-10 arası,Yok,1.0,1,1,Yok,0,0,1,0,18000,18000.0
Çağlayan Mh.,400.0,350.0,5+1,9.0,9,16-20 arası,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,0,0,2000,120000,100000.0
Fener Mah.,85.0,75.0,2+1,2.0,1,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,0,0,100,30000,26000.0
Güzeloba Mh.,65.0,60.0,1+1,8.0,6,3,Klima,1.0,0,1,Açık Otopark,0,0,0,700,0,11000.0
Kızıltoprak Mh.,115.0,110.0,2+1,3.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,150,12000,12000.0
Yeşilbahçe Mh.,180.0,165.0,3+1,10.0,6,16-20 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,115000,58000.0
Güzeloba Mh.,60.0,55.0,1+1,3.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Yok,1,0,1,100,30000,17000.0
Fener Mah.,80.0,75.0,2+1,2.0,Yüksek Giriş,5-10 arası,Klima,1.0,1,0,Yok,1,0,0,100,15000,17500.0
Şirinyalı Mh.,235.0,200.0,4+1,4.0,4,16-20 arası,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,300,100000,50000.0
Güzeloluk Mh.,120.0,110.0,3+1,3.0,1,21-25 arası,Yok,1.0,1,0,Açık Otopark,0,1,0,300,16250,15250.0
Güzeloba Mh.,85.0,70.0,2+1,1.0,1,4,Klima,1.0,1,0,Açık Otopark,1,1,0,1750,30000,30000.0
Gençlik Mh.,110.0,100.0,2+1,7.0,1,26-30 arası,Klima,1.0,1,0,Yok,1,0,0,0,0,27000.0
Deniz Mah.,50.0,40.0,1+1,5.0,Giriş Katı,1,Klima,1.0,0,1,Açık Otopark,1,0,0,0,20000,15000.0
Etiler Mah.,140.0,130.0,3+1,4.0,Bahçe Katı,11-15 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0,13000.0
Güzeloba Mh.,50.0,45.0,1+1,3.0,Giriş Katı,4,Yok,1.0,1,1,Açık Otopark,0,1,0,750,0,18000.0
Güzeloba Mh.,70.0,65.0,1+1,3.0,Giriş Katı,16-20 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,10000,13000,15000.0
Yüksekalan Mh.,160.0,150.0,3+1,2.0,2,16-20 arası,Klima,1.0,1,0,Yok,1,0,0,0,25000,19000.0
Güzeloba Mh.,70.0,60.0,1+1,2.0,Bahçe Katı,5-10 arası,Klima,1.0,1,0,Açık Otopark,1,1,0,0,19500,19500.0
Varlık Mh.,135.0,120.0,3+1,7.0,1,26-30 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,200,21000,21000.0
Çaybaşı Mh.,75.0,70.0,2+1,3.0,2,2,Yok,1.0,1,1,Açık Otopark,0,0,0,250,17000,17000.0
Güzeloba Mh.,70.0,60.0,1+1,2.0,Bahçe Katı,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,1,0,750,18000,18000.0
Güzeloba Mh.,65.0,60.0,1+1,3.0,1,3,Klima,1.0,0,0,Yok,1,0,0,0,0,22800.0
Yeşilbahçe Mh.,140.0,135.0,3+1,12.0,3,16-20 arası,Klima,2.0,1,1,Açık Otopark,1,1,0,850,0,32000.0
Varlık Mh.,120.0,110.0,2+1,5.0,5,26-30 arası,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0,14000.0
Güzeloba Mh.,110.0,100.0,2+1,3.0,1,31 ve üzeri,Klima,1.0,1,0,Yok,1,1,0,0,25000,25000.0
Güvenlik Mh.,145.0,135.0,3+1,7.0,1,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,0,0,350,17000,17000.0
Güzeloba Mh.,60.0,40.0,1+1,3.0,2,4,Klima,1.0,1,1,Açık Otopark,1,0,0,400,40000,20000.0
Kışla Mh.,130.0,120.0,2+1,4.0,3,16-20 arası,Şömine,1.0,1,0,Yok,1,0,0,30,12000,15000.0
Meydankavağı Mh.,140.0,130.0,3+1,10.0,Bahçe Katı,16-20 arası,Klima,1.0,1,1,Açık Otopark,0,1,0,2000,20000,21000.0
Güzeloba Mh.,65.0,60.0,2+1,5.0,Giriş Katı,11-15 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,150,34000,17000.0
Haşimişcan Mh.,135.0,125.0,3+1,4.0,3,26-30 arası,Yok,1.0,1,0,Yok,0,0,0,100,12500,12500.0
Meydankavağı Mh.,150.0,140.0,3+1,4.0,2,11-15 arası,Yok,1.0,1,1,Açık Otopark,0,1,0,250,0,22000.0
Çağlayan Mh.,160.0,140.0,3+1,10.0,4,11-15 arası,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,400,60000,30000.0
Güzelbağ Mh.,90.0,75.0,2+1,2.0,1,11-15 arası,Kombi (Doğalgaz),1.0,1,0,Yok,0,0,0,200,20000,20000.0
Şirinyalı Mh.,168.0,160.0,3+1,4.0,2,21-25 arası,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,0,0,0,50,25000,25000.0
Şirinyalı Mh.,110.0,100.0,2+1,4.0,2,16-20 arası,Yok,1.0,1,1,Açık Otopark,0,0,0,0,0,20000.0
Bayındır Mh.,70.0,60.0,1+1,5.0,1,5-10 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,0,0,14500.0
Güzeloba Mh.,170.0,155.0,3+1,6.0,5,16-20 arası,Klima,1.0,1,1,Açık Otopark,1,0,0,800,30000,28500.0
Yeşilbahçe Mh.,150.0,140.0,3+1,11.0,3,16-20 arası,Klima,2.0,1,1,Açık Otopark,1,0,0,0,25000,30000.0
