mahalle,brut_alan_m2,net_alan_m2,oda_sayisi,bina_kat_sayisi,dairenin_bulundugu_kat,bina_yas,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,sahibi,aidat,depozito,fiyat
17,70.0,60.0,0,2.0,14,10,4,1.0,1,1,1,1,1,0,750,18000,18000.0
17,65.0,60.0,0,3.0,0,7,4,1.0,0,0,3,1,0,0,0,0,22800.0
40,140.0,135.0,4,12.0,7,3,4,2.0,1,1,1,1,1,0,850,0,32000.0
37,120.0,110.0,2,5.0,9,6,4,1.0,1,0,1,0,0,0,0,0,14000.0
17,110.0,100.0,2,3.0,0,8,4,1.0,1,0,3,1,1,0,0,25000,25000.0
15,145.0,135.0,4,7.0,0,3,4,1.0,1,1,1,0,0,0,350,17000,17000.0
17,60.0,40.0,0,3.0,6,9,4,1.0,1,1,1,1,0,0,400,40000,20000.0
25,130.0,120.0,2,4.0,7,3,12,1.0,1,0,3,1,0,0,30,12000,15000.0
29,140.0,130.0,4,10.0,14,3,4,1.0,1,1,1,0,1,0,2000,20000,21000.0
17,65.0,60.0,2,5.0,17,2,4,1.0,1,1,1,1,0,0,150,34000,17000.0
19,135.0,125.0,4,4.0,7,6,11,1.0,1,0,3,0,0,0,100,12500,12500.0
29,150.0,140.0,4,4.0,6,2,11,1.0,1,1,1,0,1,0,250,0,22000.0
47,160.0,140.0,4,10.0,8,2,5,1.0,1,1,1,1,1,0,400,60000,30000.0
16,90.0,75.0,2,2.0,0,2,5,1.0,1,0,3,0,0,0,200,20000,20000.0
49,168.0,160.0,4,4.0,6,5,5,1.0,1,0,1,0,0,0,50,25000,25000.0
49,110.0,100.0,2,4.0,6,3,11,1.0,1,1,1,0,0,0,0,0,20000.0
3,70.0,60.0,0,5.0,0,10,4,1.0,1,1,1,1,0,0,0,0,14500.0
17,170.0,155.0,4,6.0,9,3,4,1.0,1,1,1,1,0,0,800,30000,28500.0
40,150.0,140.0,4,11.0,7,3,4,2.0,1,1,1,1,0,0,0,25000,30000.0
0,130.0,110.0,2,8.0,0,5,4,1.0,1,1,1,0,0,1,200,18000,17000.0
19,60.0,55.0,0,4.0,15,6,4,1.0,0,0,1,0,0,0,0,12500,12000.0
29,150.0,140.0,4,8.0,0,3,4,1.0,1,1,1,0,0,1,0,16500,16500.0
12,165.0,155.0,4,8.0,11,3,4,1.0,1,1,1,1,1,0,300,25000,25000.0
22,107.0,90.0,2,4.0,6,10,4,1.0,1,1,1,0,0,0,0,12000,12000.0
39,100.0,85.0,2,4.0,8,2,5,1.0,1,0,1,1,0,0,0,0,18000.0
12,100.0,96.0,2,3.0,0,2,4,1.0,1,0,3,1,0,0,0,0,26000.0
12,80.0,60.0,2,2.0,14,10,5,1.0,1,0,3,0,1,0,0,50000,22500.0
23,60.0,50.0,0,3.0,0,3,4,1.0,1,0,3,1,0,0,100,18000,18000.0
27,140.0,130.0,4,13.0,2,5,4,2.0,1,1,3,0,1,0,400,26000,26000.0
34,125.0,110.0,4,5.0,9,5,4,1.0,1,0,1,0,0,0,0,15000,15000.0
47,150.0,135.0,4,10.0,13,3,4,1.0,1,1,1,1,1,0,320,20000,30000.0
47,55.0,50.0,0,4.0,14,2,4,1.0,1,1,1,0,1,0,1000,16000,16000.0
34,300.0,270.0,8,13.0,4,2,5,2.0,1,1,1,1,1,0,400,0,39000.0
17,160.0,155.0,4,8.0,8,10,4,1.0,1,1,1,0,1,1,1000,20000,20000.0
12,230.0,200.0,6,16.0,19,2,5,3.0,1,1,0,0,1,1,2500,180000,107000.0
40,145.0,135.0,4,8.0,9,2,5,1.0,1,1,1,1,1,0,1550,70000,35000.0
17,120.0,110.0,2,2.0,0,10,4,2.0,0,1,2,1,1,1,1800,80000,45000.0
17,95.0,85.0,2,6.0,7,9,4,2.0,1,1,2,1,1,0,1300,38000,37000.0
17,60.0,50.0,0,2.0,19,10,4,1.0,1,0,1,0,0,0,200,15000,13000.0
22,135.0,120.0,4,5.0,0,9,4,1.0,0,1,3,0,0,1,0,15000,15000.0
17,85.0,70.0,2,1.0,17,3,4,1.0,0,1,1,1,1,1,1000,34000,30000.0
48,110.0,100.0,2,7.0,8,7,11,1.0,1,1,0,0,0,0,0,0,17000.0
12,90.0,75.0,2,15.0,14,5,3,1.0,1,1,2,1,1,0,1250,25000,25000.0
8,100.0,90.0,2,4.0,19,10,4,1.0,1,1,1,1,1,1,400,15000,15000.0
43,75.0,65.0,2,3.0,17,1,5,1.0,0,0,2,1,0,0,250,0,19000.0
47,320.0,290.0,7,6.0,10,3,4,3.0,1,1,1,0,1,0,0,30000,27000.0
4,95.0,90.0,2,4.0,19,3,4,1.0,1,0,1,0,0,0,100,22000,11000.0
27,125.0,120.0,4,6.0,0,3,5,2.0,1,1,1,1,1,0,0,27000,32000.0
17,150.0,130.0,4,7.0,7,2,5,2.0,1,1,1,0,0,0,600,25000,25000.0
47,230.0,200.0,10,5.0,14,3,4,3.0,1,1,0,1,0,0,150,45000,22500.0
33,55.0,45.0,0,5.0,8,0,5,1.0,1,1,1,0,0,0,0,16500,16500.0
40,160.0,140.0,4,4.0,0,3,5,1.0,1,0,1,1,0,0,100,40000,28500.0
17,150.0,125.0,4,12.0,3,3,4,1.0,1,1,0,1,0,0,500,60000,20000.0
49,170.0,160.0,4,4.0,7,5,4,1.0,1,0,1,0,0,0,200,25000,25000.0
17,55.0,50.0,0,3.0,14,10,5,1.0,1,1,2,1,0,0,0,18000,20000.0
13,149.0,130.0,4,6.0,8,9,4,2.0,1,1,2,0,1,0,2600,0,20000.0
4,125.0,115.0,4,4.0,8,5,4,1.0,1,0,1,0,0,0,50,5000,14500.0
12,270.0,240.0,10,11.0,2,5,4,2.0,1,1,1,0,0,0,500,34000,36000.0
5,170.0,155.0,4,9.0,10,3,5,2.0,1,1,1,0,0,0,350,28000,28000.0
24,90.0,85.0,2,4.0,0,10,11,1.0,1,1,1,0,0,0,350,17250,17000.0
48,95.0,90.0,2,6.0,10,6,4,1.0,1,1,3,0,0,0,0,15000,15000.0
7,140.0,130.0,4,4.0,0,10,5,2.0,1,1,2,0,0,0,300,21000,21000.0
29,220.0,200.0,4,3.0,6,10,5,2.0,1,1,2,0,1,0,1500,40000,40000.0
14,95.0,90.0,0,3.0,0,6,4,1.0,1,0,3,1,0,0,0,0,25000.0
22,145.0,140.0,4,7.0,7,2,11,1.0,1,1,1,0,1,0,450,17500,17500.0
17,105.0,100.0,2,13.0,8,5,5,1.0,1,0,3,0,1,0,0,0,24000.0
13,75.0,70.0,2,4.0,19,10,4,1.0,1,1,2,0,1,0,0,30000,12000.0
3,140.0,130.0,4,7.0,10,3,5,1.0,1,1,1,1,0,0,200,25000,25000.0
43,140.0,135.0,4,6.0,6,6,4,1.0,1,1,1,1,0,0,0,22000,22000.0
3,130.0,125.0,4,4.0,6,3,5,1.0,1,1,1,0,0,0,250,25000,25000.0
11,90.0,85.0,2,4.0,17,10,4,1.0,0,0,1,1,0,0,0,0,12750.0
20,95.0,85.0,2,3.0,19,2,4,1.0,1,1,1,0,0,0,150,10750,10750.0
34,145.0,140.0,4,5.0,0,3,4,1.0,1,0,1,0,0,0,0,0,20000.0
31,95.0,90.0,2,4.0,7,3,4,1.0,1,0,1,0,0,0,0,13000,13000.0
29,150.0,135.0,4,8.0,7,2,5,2.0,1,1,1,0,1,0,1000,27000,27000.0
17,115.0,100.0,2,8.0,12,2,4,1.0,1,1,1,1,1,0,250,30000,27000.0
24,90.0,75.0,0,6.0,19,0,4,1.0,1,1,2,1,0,0,1500,60000,30000.0
35,80.0,70.0,2,4.0,7,6,11,1.0,1,0,1,1,0,1,0,20000,20000.0
12,60.0,55.0,0,3.0,14,2,4,1.0,1,0,3,0,0,0,0,13000,13000.0
7,100.0,90.0,2,4.0,7,9,4,2.0,1,1,1,0,0,0,800,23000,23000.0
16,110.0,90.0,2,3.0,17,10,4,1.0,1,0,1,1,0,1,75,0,20000.0
17,55.0,50.0,0,2.0,17,1,4,1.0,1,0,1,1,1,0,0,0,17500.0
17,65.0,60.0,0,2.0,6,10,4,1.0,1,1,1,1,1,0,250,18000,18000.0
3,90.0,80.0,0,7.0,11,3,4,1.0,1,1,1,0,0,0,0,0,15000.0
17,60.0,50.0,0,1.0,14,6,4,1.0,1,0,0,0,1,0,3990,20000,19000.0
39,110.0,100.0,2,4.0,0,3,4,1.0,1,0,3,0,0,1,0,24000,12500.0
20,60.0,50.0,11,5.0,17,2,4,1.0,0,1,1,1,0,0,0,0,11000.0
22,90.0,75.0,2,4.0,19,9,5,1.0,1,1,1,0,1,0,300,12000,11995.0
14,220.0,190.0,4,13.0,6,5,5,3.0,1,1,0,1,1,0,1600,120000,60000.0
19,100.0,90.0,4,6.0,8,8,4,1.0,1,1,3,1,0,0,150,40000,25000.0
48,45.0,35.0,0,6.0,17,0,5,1.0,0,1,2,0,0,1,0,15000,15000.0
18,200.0,185.0,6,7.0,0,10,5,2.0,1,1,2,0,1,0,0,0,55000.0
43,80.0,65.0,2,2.0,6,3,4,1.0,1,0,1,1,0,0,100,16000,15000.0
6,90.0,85.0,2,4.0,17,6,4,1.0,1,0,3,1,0,0,70,18000,18000.0
14,150.0,140.0,4,6.0,6,8,4,1.0,1,1,1,0,0,0,450,20000,20000.0
14,170.0,150.0,4,6.0,0,5,4,1.0,1,1,3,0,1,0,0,40000,40000.0
6,170.0,160.0,4,5.0,7,0,5,2.0,1,1,2,0,1,0,1200,35000,35000.0
17,165.0,150.0,4,10.0,9,5,4,1.0,1,1,1,0,1,0,650,30000,23000.0
14,110.0,100.0,2,5.0,0,8,4,1.0,1,1,1,1,0,0,0,44000,22000.0
22,100.0,90.0,2,7.0,8,9,4,1.0,1,1,2,0,0,0,0,0,15500.0
8,150.0,140.0,4,4.0,6,3,4,1.0,1,0,1,0,0,0,100,16000,16000.0
17,155.0,140.0,4,11.0,8,5,4,1.0,1,1,1,0,0,0,250,0,40000.0
40,180.0,170.0,6,10.0,0,3,5,2.0,1,1,1,0,1,0,0,0,30000.0
17,55.0,45.0,0,1.0,19,4,4,1.0,1,0,1,1,0,0,250,15000,15000.0
20,125.0,120.0,4,10.0,9,3,4,1.0,1,1,1,0,1,1,50,17000,17000.0
46,170.0,140.0,4,7.0,10,5,4,2.0,0,1,1,1,0,1,200,24000,24000.0
22,90.0,85.0,2,4.0,6,9,4,2.0,1,1,1,1,0,0,0,14000,13999.0
17,165.0,145.0,4,8.0,10,3,4,2.0,1,1,1,1,1,0,800,30000,30000.0
29,130.0,120.0,4,3.0,0,2,5,1.0,1,0,1,0,0,0,0,0,23000.0
22,130.0,120.0,2,4.0,7,2,4,1.0,1,1,1,0,0,0,0,0,12000.0
44,110.0,100.0,2,6.0,0,5,4,1.0,1,1,1,0,0,0,200,18000,16000.0
17,65.0,55.0,2,3.0,14,1,4,1.0,1,0,1,1,1,0,0,0,38500.0
17,110.0,90.0,2,2.0,0,4,5,2.0,1,0,1,1,0,0,0,45000,22500.0
17,120.0,105.0,4,2.0,6,2,4,1.0,1,0,3,0,0,0,200,19000,19000.0
8,135.0,120.0,4,3.0,0,2,4,1.0,1,1,1,0,0,1,0,0,18000.0
17,100.0,85.0,2,3.0,0,2,5,1.0,1,0,1,1,1,1,0,50000,27000.0
29,230.0,178.0,6,5.0,6,10,8,2.0,1,1,1,1,1,0,3000,100000,50000.0
17,300.0,240.0,6,3.0,6,3,5,2.0,1,0,1,1,1,0,950,0,120000.0
48,125.0,115.0,2,4.0,17,3,4,2.0,1,0,3,0,0,0,100,11500,11500.0
3,135.0,120.0,4,7.0,8,2,4,2.0,1,1,1,1,0,0,200,35000,35000.0
12,155.0,145.0,4,8.0,12,3,8,1.0,1,1,1,0,1,0,3500,55000,55000.0
17,60.0,55.0,0,2.0,0,4,4,1.0,1,0,1,1,0,0,850,30000,17000.0
41,120.0,110.0,2,4.0,7,1,4,1.0,1,1,1,1,0,0,100,19000,18500.0
49,165.0,150.0,4,13.0,4,3,5,2.0,1,1,1,1,0,0,1000,0,36000.0
22,95.0,85.0,2,4.0,6,9,11,1.0,1,1,1,0,0,0,0,12000,12000.0
47,160.0,150.0,4,9.0,6,2,4,2.0,1,1,1,1,1,0,0,22000,22000.0
17,130.0,125.0,4,5.0,7,9,5,1.0,1,1,1,0,0,0,0,25000,25000.0
9,88.0,85.0,2,4.0,7,6,4,1.0,1,1,3,0,0,0,100,21000,22000.0
